2	1	3
4	2	5
10	4	11
12	5	13
14	6	15
18	8	19
20	9	21
26	7	27
28	12	29
30	13	31
38	8	39
40	17	41
42	18	43
44	19	45
46	20	47
48	21	49
52	23	53
54	24	55
56	25	57
58	26	59
60	2	61
65	29	21
66	30	67
43	35	78
83	37	84
89	38	90
91	40	92
95	25	96
99	42	100
113	48	114
115	16	116
118	41	119
124	41	125
130	52	21
133	53	134
135	54	136
137	2	138
143	57	144
147	58	148
149	59	150
153	44	154
156	61	157
162	41	163
133	53	164
167	41	168
175	66	176
183	34	184
185	17	186
189	1	190
191	68	192
60	2	199
205	1	206
209	3	55
210	18	43
211	6	212
213	74	21
222	57	144
223	79	224
225	17	226
233	81	234
237	4	238
239	33	240
241	83	242
243	52	21
244	18	43
245	33	246
247	84	248
253	85	254
255	86	256
257	87	258
261	89	262
266	90	267
268	91	269
236	92	270
271	93	272
273	57	144
274	94	275
278	18	43
281	19	176
282	96	21
285	8	286
287	17	288
296	98	297
298	33	299
306	38	307
190	102	310
311	103	312
313	33	314
315	95	316
321	106	322
323	107	324
325	65	326
327	108	328
18	41	329
46	20	146
30	12	330
335	40	336
337	2	338
339	110	340
343	112	344
345	113	346
347	114	348
349	115	350
351	116	352
353	55	354
358	118	359
360	34	361
362	119	363
40	3	55
364	95	365
370	8	371
372	120	373
376	3	55
266	25	377
380	121	381
384	123	385
386	124	387
388	125	21
392	126	393
396	127	21
403	129	262
404	96	21
132	41	405
406	130	407
412	1	413
415	41	416
417	112	418
419	132	420
421	41	422
425	1	426
427	133	21
428	34	429
434	134	435
436	135	21
442	20	443
444	135	21
447	136	448
453	81	454
460	137	461
462	138	21
463	37	464
465	96	21
466	8	467
470	133	21
477	142	478
479	143	480
490	147	491
494	148	176
501	141	502
507	18	43
508	95	509
510	150	511
514	151	515
516	19	517
518	152	21
3	6	519
300	41	285
526	47	527
528	69	529
531	154	532
533	7	534
537	93	55
538	3	272
539	156	540
543	157	21
544	17	545
546	158	21
549	33	550
553	159	554
558	70	559
560	80	561
568	162	569
571	85	572
575	38	576
480	163	577
582	8	583
584	37	585
586	41	587
588	164	589
590	165	591
